英語フレーズ,日本語
Let's try anyway.,とにかくやってみよう。
"Following the speech, we had dinner.",スピーチに続いて、夕食をとった。
Please refer to the map.,地図を参照してください。
Tickets are available online.,チケットはオンラインで入手可能です。
the sales department,営業部
a large conference room,大きな会議室
according to the e-mail,メールによると
Who most likely is the woman?,女性はおそらく誰ですか。
What does the man offer to do?,男性は何をすることを申し出ていますか。
new office equipment,新しいオフィス機器
Please provide me with your e-mail address.,あなたのメールアドレスを提供してください。
local businesses,地元の会社
purchase tickets,チケットを購入する
a job opening,仕事の空き
construction project,建設プロジェクト
while touring the factory,工場を見学している間
market research,市場調査
attend a meeting,会議に出席する
change a delivery date,配達日を変更する
I recently bought a printer.,私は最近プリンターを買った。
What is indicated about Mr. Kato ?,加藤さんについて何が示されていますか。
an employee of a hotel,ホテルの従業員
request additional staff,追加のスタッフを要請する
a customer survey,顧客アンケート調査
review a report,報告書に目を通す
the production area,生産エリア
conveniently located near a subway station,地下鉄の駅近くの便利な場所にある
details of a plan,計画の詳細
announce the winners,入賞者を発表する
a computer repair shop,コンピュータの修理店
an increase in sales,売上の増加
What is NOT included in the form?,用紙に含まれていないのは何ですか。
The item is currently out of stock.,その品は現在在庫切れです。
an advertising campaign,広告キャンペーン
We charge $50 for the service.,そのサービスには50ドルを請求します。
Mr. Kato is expected to arrive tomorrow.,加藤さんは明日到着する予定だ。
a family-owned firm,家族経営の会社
visit a client,顧客を訪問する
financial support from the government,政府からのお金の支援
an annual report,年次報告書
make an online payment,オンラインの支払をする
this year's budget,今年の予算
fill out an application,応募書類に記入する
before signing a contract,契約に署名する前に
a management seminar,経営セミナー
an employee's performance,従業員の成績
We are pleased with the final result.,最終結果に満足している。
confirm a payment,支払を確認する
awards ceremony,授賞式
a clothing store,衣料品店
products on display,展示されている製品
a successful candidate,合格した候補者
What is stated about the hotel?,ホテルについて何が述べられていますか。
a museum exhibit,博物館の展示物
a Q&A session,質疑応答の時間
Please note that prices may change.,値段は変更になる場合があるので、注意してください
process an order,注文を処理する
Please read all the instructions.,説明書をすべてお読みください。
sign up for membership,会員登録する
a travel agency,旅行代理店
a Seattle-based company,シアトルに拠点を置く会社
a research facility,研究施設
advance notice,事前の告知
join a committee,委員会に入る
The event was successful.,そのイベントは成功だった。
excellent service,素晴らしいサービス
the fashion industry,ファッション業界
