entwässern,排水する
der Satellit,衛星
die Psychologie,心理学
die Gliedmaße,手足
konservativ,保守的な
komplizieren,複雑にする
die Frömmigkeit,信心
der Thunfisch,マグロ
beleuchten,照らす
vereinen,統合する
das Festmahl,祝宴
verschütten,こぼす
jagen,追跡する
verbreiten,広げる
intern,内部の
bescheiden,謙虚な
überzeugen,納得させる
der Krebs,がん
aufrecht,直立して
der Knoblauch,ニンニク
die Bindung,きずな
die Spur,痕跡
erweitern,拡大する
andeuten,ほのめかす
langweilig,面白くない
das Verhältnis,割合
ultmativ,究極の
aussetzen,さらす
verwirren,混乱させる
düster,かすんだ
liberal,寛大な
schimpfen,ののしる
aggressiv,攻撃的な
der Verdacht,容疑
bauen,建設する
der Einblick,洞察
garantieren,保証する
die Knospe,つぼみ
aufhören,終わる
definieren,明確にする
die Gesetzgebung,立法
technisch,技術的な
die Veröffentlichung,出版
pressen,搾る
das Mitgefühl,同情
absteigen,下降する
ungeduldig,せっかちな
identifizieren,特定する
eingravieren,刻む
das Idiom,慣用句
das Waisenkind,孤児
reflektieren,反射する
sicher,安全な
umarmen,抱きしめる
der Ahorn,カエデ
ergreifen,捕まえる
missbrauchen,乱用する
imaginär,想像上の
über Nacht,一晩
die Wunde,けが
der Einzelhandel,小売り
mobil,動くことができる
anfänglich,初期の
schmerzhaft,痛い
was auch immer,〜するものは何でも
eigentümlich,固有の
über,経由で
absolut,完全な
die Alternative,代替
das Bewusstsein,意識
zurückfordern,開墾する
folgern,結論付ける
das Taschengeld,手当
der Fragebogen,アンケート
die Evolution,進化
ungefähr,ほぼ
verhandeln,交渉する
necken,からかう
interagieren,相互作用する
scannen,ざっと見る
der Zeuge,証人
die Höhle,洞窟
der Kern,芯
der Gegner,反対者
optimistisch,楽観的な
drohen,脅かす
die Rasse,品種
offensichtlich,明らかな
die Klinik,診療所
die Provision,手数料
die Opposition,反対
auferlegen,押し付ける
einatmen,吸い込む
der Umstand,事情
bilden,構成する
das Einkaufszentrum,商店街
das Vermögen,財産
der Kritiker,批評家
reagieren,反応する
die Sequenz,連続
täuschen,だます
wettbewerbsfähig,競争的な
beschuldigen,告発する
entfalten,広げる
das Laster,悪
klatschen,拍手する
die Ebene,平地
die Taille,ウエスト
verblassen,色あせる
teilnehmen,参加する
berüchtigt,悪名高い
schreien,叫ぶ
belasten,引き締める
insgesamt,全体的な
der Plan,計画
der Anteilschein,利害
wetten,賭ける
die Last,負担
ableiten,引き出す
die Geografie,地理学
massiv,巨大な
welken,枯れる
mittlerer,中級の
das Konzept,概念
überarbeiten,改定する
erben,相続する
zittern,震える
beleidigen,辱める
registrieren,登録する
spiralförmig,らせんの
konsumieren,消費する
der Delphin,イルカ
die Eule,フクロウ
konfrontieren,直面する
die Phase,段階
jährlich,年間の
löschen,削除する
folglich,その結果
die Komponente,成分
stabil,安定した
der Ingwer,ショウガ
häuslich,国内の
versichern,保証する
steil,険しい
das Wachs,ろう
umwandeln,転換する
der Athlet,運動選手
abstrakt,抽象的な
der Trainer,コーチ
das Virus,ウイルス
passiv,受動的な
begreifen,理解する
kämmen,髪をとかす
vermisst,行方不明の
riesig,広大な
beilegen,同封する
gestehen,白状する
explodieren,爆発する
schlagen,打つ
der Schlamm,泥
der Rückgang,減少
empfindlich,敏感な
das Individuum,個人
erobern,征服する
verbieten,禁止する
wertvoll,貴重な
die Region,地域
wandern,放浪する
fortfahren,前進する
föderal,連邦の
nagelneu,真新しい
das Parfüm,香水
die Wohlfahrt,富
die Zunge,舌
der Kontext,文脈
konzentrieren,集中する
absorbieren,吸収する
die Vereinbarung,取り決め
der Zirkus,サーカス
das Gegenteil,逆
trotz,〜にもかかわらず
beeinträchtigen,損なう
festlich,祝いの
schätzen,ありがたく思う
seltsam,変わった
erreichen,達成する
erwarten,予想する
seufzen,ため息をつく
der Blick,ちらりと見ること
kreisförmig,丸い
modifizieren,修正する
verachten,軽蔑する
handeln,扱う
die Zelle,細胞
rabattieren,割引する
tödlich,致命的な
informell,非公式の
der Rebell,反逆者
die Schlagzeile,見出し
die Leber,肝臓
die Konferenz,会議
erwerben,獲得する
genehmigen,承認する
die Störung,混乱
zähmen,調教する
die Ehrfurcht,畏敬
vorhersagen,予言する
das Angebot,見積もり
übernehmen,引き受ける
die Taube,ハト
der Chirurg,外科医
bluten,出血する
dynamisch,動的な
herstellen,生産する
bedeutend,重要な
einwandern,移住する
einschränken,制限する
ersetzen,置き換える
kurz,簡潔な
das Partikel,粒子
zerfallen,衰える
bestimmt,明確な
der Knöchel,くるぶし
umsetzen,実施する
kultivieren,耕す
die Turbulenz,大荒れ
lenken,かじをとる
entscheidend,重要な
erstaunen,驚かす
der Hinweis,鍵
die Schicht,層
neutral,中立の
der Stamm,木の幹
krachen,砕ける
die Nachtzeit,夜間
der Ofen,ストーブ
klatschen,手をたたく
die Bekanntmachung,掲示
besorgt,心配な
kritisch,批判的な
aussetzen,中止する
zusätzlich,補強の
wetteifern,競う
aktuell,現在の
die Barmherzigkeit,慈悲
der Straßenrand,道端
die Ressource,資源
platzen,破裂する
brüllen,ほえる
die Genetik,遺伝学
ziehen,引きずる
das Motiv,動機
beschuldigen,責める
heilig,神聖な
das Dokument,文書
der Instinkt,本能
grausam,残酷な
widmen,捧げる
die Strategie,戦略
feucht,湿気のある
